Feature,Coefficient,Abs_Coefficient
MUAC_child__mm,-0.6534512001160605,0.6534512001160605
Drank_fortified_porridge__No,-0.2638543940748697,0.2638543940748697
Mouth_illness_last_2_weeks__No,0.2554558879742481,0.2554558879742481
Solid_food_frequency,0.23412789083288318,0.23412789083288318
Household_Size,0.2232585322192591,0.2232585322192591
Water_Usage__liters_day,-0.21896851020194888,0.21896851020194888
Household_wealth_index_Wealthiest,-0.2090693658945047,0.2090693658945047
Vit_A_last_6_months__Yes,0.17126593156374859,0.17126593156374859
Hands_washed_before_meal__Yes,0.16492863444187653,0.16492863444187653
Dewormed_last_6_months__Yes,0.13878704451038024,0.13878704451038024
Main_Water_Source_Water_tap_at_home,-0.13484520869967806,0.13484520869967806
Sex,0.10567511178893606,0.10567511178893606
Age__months,0.10256013122935574,0.10256013122935574
After_visiting_toilet,-0.09270521500828605,0.09270521500828605
Active_Members,-0.08773201191853916,0.08773201191853916
Ate_Vitamin_A_rich_vegetables__roots__tubers,-0.08455778675705863,0.08455778675705863
HH_Head_Disability,-0.08075031710858666,0.08075031710858666
Minimum_Dietary_Diversity___Women,0.06802346628893488,0.06802346628893488
Spend_on_Cereals,-0.06787372199943038,0.06787372199943038
Urban_or_Rural,-0.06667298864450148,0.06667298864450148
MUAC_women_in_mm,-0.06556977454922894,0.06556977454922894
Owns_Goats,-0.06530376426997359,0.06530376426997359
Has_Vegetable_Garden,0.06295966431901888,0.06295966431901888
Spend_on_Fats_Oils,-0.05685707774811784,0.05685707774811784
Birth_weight__kg,-0.05564282208720195,0.05564282208720195
Are_you_currently_using_any_contraceptive_methods,0.054898098096322276,0.054898098096322276
Ate_dark_green_leafy_vegetables,0.053695896456574264,0.053695896456574264
Other_times,0.053494133884801495,0.053494133884801495
Ate_milk_and_dairy_products,-0.05194376809614693,0.05194376809614693
Before_eating,0.05050527194502233,0.05050527194502233
What_used_to_wash_hands,-0.04956327353770334,0.04956327353770334
Ate_Vitamin_A_rich_fruits__e_g___mango__papaya,0.04947278492435303,0.04947278492435303
Did_you_sleep_under_mosquito_net_last_night,-0.04923362134247553,0.04923362134247553
Owns_Cattle,-0.04792760162016711,0.04792760162016711
HH_Head_Age,0.04599362076145195,0.04599362076145195
Ate_foods_made_from_grains,-0.04458802781886715,0.04458802781886715
Owns_Pigs,-0.04436357706017581,0.04436357706017581
Active__working__and_contributing,-0.03848417803084431,0.03848417803084431
Owns_Farming_Land,0.03507068652139242,0.03507068652139242
Woman_s_age,-0.03494537632324191,0.03494537632324191
Ate_fish_and_seafood,-0.033521031496587535,0.033521031496587535
ANC_place_2,0.03290723536178706,0.03290723536178706
Ate_eggs,0.030614437971274912,0.030614437971274912
Ate_other_fruits,0.03034904002030463,0.03034904002030463
Before_preparing_meals,-0.02817680440160103,0.02817680440160103
Ate_pulses__beans__peas__lentils,0.027388375416043154,0.027388375416043154
Ate_Shisha_Kibondo___Mubyeyi,-0.025940326915413692,0.025940326915413692
Consumes_Livestock_Products,0.024567297368438833,0.024567297368438833
Have_you_received_any_nutrition_education_or_counselling,0.021504331732677462,0.021504331732677462
ANC_place_1,0.01846319104416279,0.01846319104416279
Disabled_Members,0.01813997326868825,0.01813997326868825
Spend_on_Fruits,0.015969331306990523,0.015969331306990523
Whenever_hands_are_dirty,-0.015901427314439845,0.015901427314439845
After_cleaning_child_from_toilet,-0.013193843137000673,0.013193843137000673
Ate_white_roots_tubers_plantains,-0.012612112349867921,0.012612112349867921
Ate_meat_and_poultry,0.012545917682563629,0.012545917682563629
Food_Shortage__7_days,-0.012539631143637901,0.012539631143637901
HH_Head_Gender,0.011898127002612538,0.011898127002612538
Spend_on_Protein__Meat_Fish_Eggs,-0.01127777558830436,0.01127777558830436
Ate_other_vegetables,-0.01096695908158691,0.01096695908158691
Spend_on_Vegetables,0.006484215504189863,0.006484215504189863
Ate_nuts_and_seeds,0.005749858862530984,0.005749858862530984
Owns_Chickens,-0.005512383502931105,0.005512383502931105
Spend_on_Sweets,0.005188007003157872,0.005188007003157872
Spend_on_Dairy,0.004941750089596823,0.004941750089596823
Contribution_ratio,-0.003480066270476934,0.003480066270476934
Time_to_Fetch_Water__min,0.0018898894097101196,0.0018898894097101196
