Feature,Importance,Abs_Importance
Household wealth index_Wealthiest,32.356239318847656,32.356239318847656
Main Water Source_Water tap at home,21.76201820373535,21.76201820373535
Age months,15.86341667175293,15.86341667175293
Ate eggs,14.157285690307617,14.157285690307617
MUAC child mm,12.695341110229492,12.695341110229492
Urban or Rural,11.019593238830566,11.019593238830566
Sex,10.167954444885254,10.167954444885254
Drank fortified porridge?_No,9.364156723022461,9.364156723022461
"Active, working, and contributing",8.604121208190918,8.604121208190918
Water Usage liters/day,8.54975700378418,8.54975700378418
Solid food frequency,7.697845935821533,7.697845935821533
"Ate Vitamin A-rich vegetables, roots, tubers",7.560816764831543,7.560816764831543
Birth weight kg,7.2392120361328125,7.2392120361328125
Spend on Fats/Oils,7.188292980194092,7.188292980194092
"Ate Vitamin A-rich fruits e.g., mango, papaya",7.062422275543213,7.062422275543213
ANC_place_2,7.058579444885254,7.058579444885254
HH Head Disability,6.888227939605713,6.888227939605713
Before eating,6.715878009796143,6.715878009796143
Whenever hands are dirty,6.540432929992676,6.540432929992676
Have you received any nutrition education or counselling?,6.51329231262207,6.51329231262207
